time, A, B ,C, A, B, C
2019-09-15 12:18:52, 1.613, 1.729, 1.697, 231.84, 231.44, 236.19
2019-09-15 12:19:07, 1.567, 1.551, 1.629, 232.78, 233.27, 233.96
2019-09-15 12:19:22, 1.742, 1.641, 1.705, 231.48, 234.76, 232.87
2019-09-15 12:19:37, 1.795, 1.884, 1.874, 231.84, 231.08, 234.77
2019-09-15 12:19:52, 1.613, 1.621, 1.714, 233.17, 232.03, 233.51
2019-09-15 12:20:07, 1.619, 1.696, 1.721, 232.55, 231.59, 235.28
2019-09-15 12:20:22, 1.48, 1.495, 1.543, 232.48, 232.62, 234.76
2019-09-15 12:20:37, 1.556, 1.62, 1.635, 232.37, 232.06, 235.43
2019-09-15 12:20:52, 1.675, 1.658, 1.729, 231.7, 234.57, 234.02
2019-09-15 12:21:07, 1.66, 1.764, 1.728, 231.56, 231.21, 236.39
2019-09-15 12:21:22, 1.821, 1.688, 1.76, 231.4, 235.29, 232.46
2019-09-15 12:21:37, 1.649, 1.661, 1.669, 231.3, 233.33, 234.7
2019-09-15 12:21:52, 1.453, 1.411, 1.492, 233.43, 232.94, 233.8
2019-09-15 12:22:07, 1.472, 1.468, 1.557, 232.87, 232.71, 233.87
2019-09-15 12:22:22, 1.432, 1.406, 1.49, 232.83, 232.72, 234.15
2019-09-15 12:22:37, 1.649, 1.668, 1.72, 231.33, 232.0, 234.09
2019-09-15 12:22:52, 1.68, 1.639, 1.776, 232.61, 232.22, 233.22
2019-09-15 12:23:07, 1.827, 1.886, 1.954, 232.04, 230.95, 234.46
2019-09-15 12:23:22, 1.519, 1.617, 1.721, 234.0, 229.66, 234.91
2019-09-15 12:23:37, 1.931, 1.996, 2.075, 232.04, 230.78, 234.13
2019-09-15 12:23:52, 1.449, 1.583, 1.661, 233.9, 229.72, 235.4
2019-09-15 12:24:07, 2.015, 2.201, 2.281, 233.1, 228.21, 235.2
2019-09-15 12:24:22, 1.733, 1.887, 1.971, 233.5, 228.81, 235.23
2019-09-15 12:24:37, 1.864, 2.05, 2.136, 232.78, 228.01, 235.23
2019-09-15 12:24:52, 1.772, 1.87, 1.982, 233.31, 228.7, 234.8
2019-09-15 12:25:07, 1.876, 1.958, 2.078, 232.91, 229.41, 234.55
2019-09-15 12:25:22, 2.162, 2.243, 2.322, 232.43, 229.89, 233.46
2019-09-15 12:25:37, 2.18, 2.271, 2.305, 231.55, 230.57, 233.68
2019-09-15 12:25:52, 2.094, 2.274, 2.285, 215.34, 217.4, 219.05
2019-09-15 12:26:07, 1.92, 2.049, 2.101, 232.9, 230.31, 234.75
2019-09-15 12:26:22, 1.891, 1.966, 2.067, 232.96, 230.22, 234.53
2019-09-15 12:26:37, 1.95, 2.068, 2.156, 232.77, 228.95, 234.18
2019-09-15 12:26:52, 1.96, 2.005, 2.005, 231.29, 231.93, 234.31
2019-09-15 12:27:07, 2.107, 2.109, 2.0, 228.42, 234.1, 234.92
2019-09-15 12:27:22, 2.244, 2.226, 2.124, 228.14, 234.03, 234.63
2019-09-15 12:27:37, 2.15, 2.121, 2.067, 228.32, 234.08, 234.07
2019-09-15 12:27:52, 1.947, 1.979, 1.838, 228.38, 233.23, 236.15
2019-09-15 12:28:07, 2.079, 2.113, 2.009, 228.4, 232.66, 235.71
2019-09-15 12:28:22, 1.75, 1.671, 1.748, 230.62, 233.5, 233.56
2019-09-15 12:28:37, 1.836, 1.776, 1.763, 228.93, 234.06, 234.16
2019-09-15 12:28:52, 1.588, 1.545, 1.489, 228.71, 235.09, 234.86
2019-09-15 12:29:07, 1.802, 1.75, 1.709, 228.16, 235.17, 234.34
2019-09-15 12:29:22, 1.912, 1.853, 1.82, 228.26, 234.7, 234.55
2019-09-15 12:29:37, 1.894, 1.933, 1.85, 228.71, 233.78, 235.15
2019-09-15 12:29:52, 1.904, 1.859, 1.806, 229.05, 234.72, 234.08
2019-09-15 12:30:07, 1.658, 1.723, 1.655, 229.48, 231.97, 235.26
2019-09-15 12:30:22, 1.668, 1.603, 1.616, 230.18, 234.25, 233.68
2019-09-15 12:30:37, 1.541, 1.456, 1.527, 231.2, 234.37, 233.42
2019-09-15 12:30:22, 1.668, 1.603, 1.616, 230.18, 234.25, 233.68
2019-09-15 12:31:22, 1.75, 1.685, 1.703, 230.46, 234.15, 233.1
2019-09-15 12:31:07, 1.812, 1.752, 1.752, 229.81, 234.09, 232.8
2019-09-15 12:30:52, 1.714, 1.625, 1.643, 229.93, 234.46, 233.01
2019-09-15 12:30:37, 1.541, 1.456, 1.527, 231.2, 234.37, 233.42
2019-09-15 12:30:22, 1.668, 1.603, 1.616, 230.18, 234.25, 233.68
2019-09-15 12:33:07, 1.964, 1.866, 1.884, 229.31, 233.9, 232.74
2019-09-15 12:44:37, 2.059, 1.921, 2.055, 229.84, 233.96, 230.71
2019-09-15 12:44:22, 2.138, 2.208, 2.166, 229.01, 230.63, 234.08
2019-09-15 12:44:07, 2.302, 2.323, 2.308, 228.92, 231.02, 232.33
2019-09-15 12:43:52, 2.252, 2.2, 2.268, 230.43, 232.38, 231.1
2019-09-15 12:43:37, 2.118, 2.131, 2.203, 230.83, 231.32, 231.8
2019-09-15 12:43:22, 1.905, 1.905, 2.014, 231.02, 231.4, 232.73
2019-09-15 12:43:07, 2.248, 2.196, 2.222, 229.14, 232.66, 231.79
2019-09-15 12:42:52, 2.192, 2.243, 2.232, 229.67, 231.33, 233.13
2019-09-15 12:42:37, 2.385, 2.243, 2.29, 228.19, 233.47, 230.77
2019-09-15 12:42:22, 2.515, 2.434, 2.451, 227.67, 232.34, 230.2
2019-09-15 12:42:07, 2.114, 1.985, 2.075, 228.91, 234.26, 230.75
2019-09-15 12:41:52, 2.255, 2.219, 2.2, 227.51, 233.05, 232.36
2019-09-15 12:41:37, 2.006, 2.0, 2.047, 229.6, 231.58, 232.93
2019-09-15 12:41:22, 1.941, 1.88, 1.971, 230.44, 232.59, 231.84
2019-09-15 12:41:07, 2.256, 2.123, 2.214, 228.97, 233.94, 230.81
2019-09-15 12:40:52, 2.125, 1.984, 2.058, 229.27, 234.5, 230.67
2019-09-15 12:40:37, 2.375, 2.221, 2.305, 228.27, 233.69, 229.94
2019-09-15 12:40:22, 1.934, 1.96, 1.979, 229.86, 231.43, 233.19
